ensemble_id,cluster_id
ENSG00000105617,0
ENSG00000166689,1
ENSG00000125746,2
ENSG00000070404,3
ENSG00000143952,4
ENSG00000031081,5
ENSG00000100393,0
ENSG00000172935,6
ENSG00000170265,7
ENSG00000183114,8
ENSG00000198715,4
ENSG00000159885,9
ENSG00000130338,10
ENSG00000145685,5
ENSG00000172578,11
ENSG00000071246,5
ENSG00000183475,12
ENSG00000141837,13
ENSG00000106105,14
ENSG00000070886,15
ENSG00000165288,12
ENSG00000180628,7
ENSG00000100351,11
ENSG00000101557,16
ENSG00000173905,17
ENSG00000110375,3
ENSG00000137273,5
ENSG00000125454,18
ENSG00000101003,19
ENSG00000066185,20
ENSG00000149930,18
ENSG00000182774,21
ENSG00000168306,6
ENSG00000167077,11
ENSG00000169896,11
ENSG00000140455,22
ENSG00000170638,23
ENSG00000143344,5
ENSG00000107625,24
ENSG00000110697,24
ENSG00000197386,25
ENSG00000144591,26
ENSG00000276023,12
ENSG00000173557,15
ENSG00000125458,10
ENSG00000213088,5
ENSG00000198682,27
ENSG00000135968,0
ENSG00000184828,28
ENSG00000238243,4
ENSG00000154723,1
ENSG00000196620,15
ENSG00000136261,29
ENSG00000008128,23
ENSG00000138193,30
ENSG00000264364,26
ENSG00000167676,6
ENSG00000198399,17
ENSG00000114491,29
ENSG00000134775,31
ENSG00000204644,4
ENSG00000182481,29
ENSG00000159596,22
ENSG00000198225,32
ENSG00000176749,4
ENSG00000141556,7
ENSG00000122705,17
ENSG00000132622,8
ENSG00000093134,13
ENSG00000109762,32
ENSG00000073584,14
ENSG00000174748,21
ENSG00000174871,19
ENSG00000166920,4
ENSG00000019144,5
ENSG00000133121,4
ENSG00000230989,33
ENSG00000151117,15
ENSG00000149212,33
ENSG00000091640,33
ENSG00000169093,17
ENSG00000112964,34
ENSG00000132681,35
ENSG00000177731,24
ENSG00000114654,4
ENSG00000176340,1
ENSG00000214309,10
ENSG00000040341,10
ENSG00000105171,20
ENSG00000134326,36
ENSG00000111452,5
ENSG00000125999,37
ENSG00000066044,24
ENSG00000183615,8
ENSG00000122970,12
ENSG00000198855,9
ENSG00000144589,38
ENSG00000126947,4
ENSG00000141543,26
ENSG00000154654,15
ENSG00000164024,18
ENSG00000054392,15
ENSG00000140299,14
ENSG00000144642,31
ENSG00000203778,35
ENSG00000167515,33
ENSG00000122678,23
ENSG00000187867,2
ENSG00000079785,29
ENSG00000185864,39
ENSG00000120322,24
ENSG00000185504,7
ENSG00000161671,26
ENSG00000186827,40
ENSG00000168813,10
ENSG00000146555,22
ENSG00000145703,3
ENSG00000175832,40
ENSG00000162736,9
ENSG00000171246,6
ENSG00000086666,14
ENSG00000124171,3
ENSG00000156427,8
ENSG00000129596,15
ENSG00000242732,28
ENSG00000204514,23
ENSG00000228486,41
ENSG00000144199,15
ENSG00000144744,37
ENSG00000186522,30
ENSG00000127481,0
ENSG00000157911,34
ENSG00000065135,38
ENSG00000127324,4
ENSG00000142733,3
ENSG00000107282,4
ENSG00000168672,35
ENSG00000196104,31
ENSG00000175985,42
ENSG00000070413,26
ENSG00000142227,40
ENSG00000159202,14
ENSG00000127884,1
ENSG00000132842,0
ENSG00000184661,19
ENSG00000106236,39
ENSG00000095752,16
ENSG00000177917,12
ENSG00000001461,2
ENSG00000126970,15
